Date,Price,Open,High,Low,Vol.,Change %
10/29/2019,"10,595","10,655","10,655","10,476",954.64K,-0.56%
10/28/2019,"10,655","10,714","10,833","10,595",1.33M,0.00%
10/25/2019,"10,655","10,595","10,774","10,595",843.27K,-0.56%
10/24/2019,"10,714","10,655","10,714","10,536",702.48K,0.56%
10/23/2019,"10,655","10,536","10,655","10,536",834.49K,1.13%
10/22/2019,"10,536","10,476","10,536","10,417",962.14K,0.57%
10/21/2019,"10,476","10,655","10,714","10,417",3.17M,-1.68%
10/18/2019,"10,655","10,714","10,833","10,655",1.59M,-1.65%
10/17/2019,"10,833","10,893","10,952","10,714",1.69M,-1.09%
10/16/2019,"10,952","11,250","11,310","10,893",3.19M,-2.13%
10/15/2019,"11,191","11,071","11,191","11,012",2.21M,1.08%
10/14/2019,"11,071","10,833","11,191","10,833",3.87M,2.20%
10/11/2019,"10,833","10,774","10,893","10,714",342.27K,0.55%
10/10/2019,"10,774","10,833","10,893","10,714",636.64K,0.00%
