Date,Price,Open,High,Low,Vol.,Change %
9/23/2021,"26,600.00","26,750.00","27,000.00","26,600.00",12.78M,-0.37%
9/22/2021,"26,700.00","26,800.00","26,850.00","26,550.00",8.39M,-0.37%
9/21/2021,"26,800.00","26,850.00","27,050.00","26,500.00",14.21M,-1.11%
9/20/2021,"27,100.00","27,000.00","27,500.00","26,900.00",17.46M,1.12%
9/17/2021,"26,800.00","26,900.00","27,100.00","26,700.00",16.37M,0.19%
9/16/2021,"26,750.00","26,900.00","26,950.00","26,600.00",5.19M,0.56%
9/15/2021,"26,600.00","26,650.00","26,900.00","26,550.00",10.16M,-0.19%
9/14/2021,"26,650.00","26,900.00","27,200.00","26,650.00",12.64M,-0.93%
9/13/2021,"26,900.00","27,250.00","27,300.00","26,800.00",10.65M,-1.10%
9/10/2021,"27,200.00","27,500.00","27,600.00","27,150.00",10.70M,-0.55%
9/9/2021,"27,350.00","27,150.00","27,500.00","27,100.00",9.34M,0.18%
9/8/2021,"27,300.00","27,900.00","28,100.00","27,300.00",9.67M,-2.15%
9/7/2021,"27,900.00","27,750.00","28,350.00","27,550.00",13.78M,1.27%
9/6/2021,"27,550.00","27,200.00","27,850.00","27,100.00",16.26M,1.29%
9/1/2021,"27,200.00","27,200.00","27,500.00","27,200.00",10.29M,-0.55%
8/31/2021,"27,350.00","28,000.00","28,000.00","27,300.00",11.98M,-1.97%
8/30/2021,"27,900.00","27,350.00","27,950.00","27,200.00",11.73M,2.20%
8/27/2021,"27,300.00","27,000.00","27,300.00","26,550.00",16.48M,0.74%
8/26/2021,"27,100.00","27,500.00","27,550.00","26,850.00",13.17M,-0.91%
8/25/2021,"27,350.00","27,350.00","27,550.00","27,100.00",8.16M,0.37%
8/24/2021,"27,250.00","26,900.00","27,850.00","26,650.00",25.86M,0.93%
8/23/2021,"27,000.00","28,200.00","28,500.00","27,000.00",29.89M,-4.59%
8/20/2021,"28,300.00","29,800.00","29,900.00","28,000.00",42.11M,-5.51%
8/19/2021,"29,950.00","29,800.00","30,050.00","29,600.00",16.70M,0.00%
8/18/2021,"29,950.00","30,000.00","30,150.00","29,550.00",22.20M,-0.66%
8/17/2021,"30,150.00","30,300.00","30,600.00","30,000.00",20.33M,-0.50%
8/16/2021,"30,300.00","29,850.00","30,400.00","29,400.00",24.10M,2.02%
8/13/2021,"29,700.00","29,600.00","29,800.00","29,150.00",22.96M,0.34%
8/12/2021,"29,600.00","30,300.00","30,500.00","29,600.00",27.94M,-2.63%
8/11/2021,"30,400.00","30,500.00","30,850.00","30,350.00",26.16M,-0.65%
8/10/2021,"30,600.00","30,850.00","31,000.00","30,300.00",24.37M,-0.33%
8/9/2021,"30,700.00","30,300.00","30,800.00","30,100.00",20.91M,1.32%
8/6/2021,"30,300.00","31,000.00","31,150.00","30,300.00",30.92M,-2.42%
8/5/2021,"31,050.00","30,600.00","31,250.00","30,300.00",30.72M,1.31%
8/4/2021,"30,650.00","29,800.00","30,800.00","29,650.00",48.35M,2.85%
8/3/2021,"29,800.00","29,400.00","29,800.00","29,250.00",26.54M,1.71%
8/2/2021,"29,300.00","29,800.00","30,400.00","29,300.00",26.51M,-2.01%
7/30/2021,"29,900.00","29,400.00","30,350.00","29,250.00",32.25M,2.05%
7/29/2021,"29,300.00","29,100.00","29,400.00","29,000.00",16.10M,1.38%
7/28/2021,"28,900.00","28,900.00","29,450.00","28,700.00",17.53M,-0.69%
7/27/2021,"29,100.00","29,000.00","29,750.00","28,700.00",29.76M,1.39%
7/26/2021,"28,700.00","28,900.00","29,300.00","28,350.00",15.10M,0.00%
7/23/2021,"28,700.00","28,300.00","29,950.00","27,900.00",63.58M,2.50%
